AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used,Is_played
Aldnoah.Zero,"Kaizuka, Inaho, Orange","Hanae, Natsuki","Action, Mecha, Sci-fi",Aldnoah Zero - Inaho.avi,Inaho.jpg,X,FALSE
Amagi Brilliant Park,Tiramie,"Nonaka, Ai","Comedy, Magic",Amagi Brilliant Park - Tiramie.avi,tiramie.jpg,X,FALSE
Angel Beats!,"Hinata, Hideki","Kimura, Ryohei","Action, Comedy, Drama, School, Supernatural",Angel Beats! - Hinata.avi,Hinata.png,X,FALSE
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,"Yadomi Jinta, Jintan","Irino, Miyu","Drama, Slice of Life, Supernatural",Anohana - Jinta.mp4,JintanBio.png,X,FALSE
Ansatsu Kyoushitsu,"Akabane, Karma","Okamoto, Nobuhiko","Action, Comedy, School, Shounen",Ansatsu Kyoushitsu - Karma.mp4,Karma.jpg,X,FALSE
Baka to Test to Shoukanjuu,"Yoshii, Akihisa","Shimono, Hiro","Comedy, Romance, School, Super Power",Baka To Test To Shoukanjuu - Yoshii.avi,Yoshii.jpg,X,FALSE
Bleach,"Kurosaki, Ichigo","Morita, Masakazu","Action, Comedy, Shounen, Super Power, Supernatural",Bleach - Ichigo.mp4,Ichigo.jpg,X,FALSE
Boku no hero academia,"Midoriya, Izuku","Yamashita, Daiki","Action, Comedy, School, Shounen, Super Power",Boku no hero academia - Izuku.avi,Izuku.png,X,FALSE
Cardcaptor Sakura,"Kinomoto, Sakura (Avalon)","Kwan, Andrea","Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",Cardcaptor Sakura - Sakura.mp4,Sakura.jpg,X,FALSE
Charlotte,"Kurobane, Yusa ""Yusa Nishimori, Yusarin""","Uchida, Maaya","Drama, School, Super Power",Charlotte - Yusarin Magic Spell.avi,Yusarin.png,X,FALSE
Chihayafuru,"Oe, Kanade ""Kana""","Kayano, Ai","Drama, Game, Josei, Slice of Life, Sports",Chihayafuru - Oe Kanade.mp4,Oe Kanade.jpg,X,FALSE
Chuunibyou demo koi ga shitai,"Takanashi, Rikka ""Maou Shingan, Master""","Uchida, Maaya","Comedy, Drama, Romance, School, Slice of Life",Chuunibyou demo koi ga shitai - Rikka.mp4,Rikka.jpg,X,FALSE
Clannad,"Sunohara, Youhei","Sakaguchi, Daisuke","Comedy, Drama, Romance, School, Slice of Life, Supernatural",Clannad - Sunohara.mp4,Sunohara.png,X,FALSE
Code Geass,Lelouch vi Britannia,"Fukuyama, Jun","Action, Mecha, Military, School, Sci-Fi, Super Power",Code Geass - Lelouch.avi,Lelouch.jpg,X,FALSE
D.Gray-Man,Allen Walker,"Kobayashi, Sanae","Action, Adventure, Comedy, Shounen",D.Gray-Man - Allen Walker.mp4,Allen Walker.png,X,FALSE
Dragonball Z,"Son, Goku",Sean Schemmel,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",DBZ - Goku.avi,Goku.jpg,X,FALSE
Death Note,"Yagami, Light ""Kira""",Brad Swaile,"Mystery, Police, Psychological, Supernatural, Thriller",Death Note - Light.mp4,Light.jpg,X,FALSE
Digimon Adventure Tri,"Yagami, Taichi ""Tai""","Hanae, Natsuki","Action, Adventure, Comedy, Drama",Digimon Adventure Tri - Yagami Taichi.avi,Taichi.png,X,FALSE
Durarara!!,"Orihara, Izaya","Kamiya, Hiroshi","Action, Mystery, Supernatural",Durarara - Izaya.mp4,Izaya.jpg,X,FALSE
Erased / Boku dake ga inai machi,"Fujinuma, Satoru","Mitsushima, Shinnosuke","Mystery, Psychological, Seinen, Supernatural",Erased - Satoru.avi,Satoru.png,X,FALSE
Fairy Tail,"Natsu Dragneel, Salamander","Kakihara, Tetsuya","Action, Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen, Super Power",Fairy Tail - Natsu Dragneel.avi,Natsu.png,X,FALSE
Fate/Stay Night (2006),Archer,"Suwabe, Junichi","Action, Fantasy, Magic, Romance, Supernatural",Fate - Archer.mp4,Archer.png,X,FALSE
Fullmetal Alchemist,Winry Rockbell,"Takamoto, Megumi","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",FMA - Winry.mp4,Winry.jpg,X,FALSE
Free!,"Nanase, Haruka","Shimazaki, Nobunaga","Comedy, School, Slice of Life, Sports",Free - Haruka.mp4,Haru.jpg,X,FALSE
Fullmetal Alchemist: Brotherhood,"Roy Mustang, The Flame Alchemist",Travis Willingham,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",Fullmetal Alchemist Brotherhood - Roy Mustang.avi,Roy Mustang.png,X,FALSE
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Itami, Youji","Suwabe, Junichi","Action, Adventure, Fantasy, Military",Gate - Itami.avi,Itami.jpg,X,FALSE
Gintama,"Yamazaki, Sagaru ""Anpanman""","Oota, Tetsuharu","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Gintama - Yamazaki.mp4,Yamazaki.jpg,X,FALSE
Gundam (Mobile Suit Gundam),Amuro Ray,"Furuya, Toru","Action, Mecha, Military, Sci-Fi, Shounen, Space",Gundam - Rey Amuro.mp4,Amuro Ray.jpg,X,FALSE
Gundam 00 (Mobile Suit Gundam 00),"Setsuna F. Seiei, Soran Ibrahim","Miyano, Mamoru","Action, Drama, Mecha, Military, Sci-Fi, Space",Gundam 00 - Setsuna.mp4,SetsunaFSeiei.jpg,X,FALSE
Haganai (Boku wa Tomodachi ga Sukunai),"Hasegawa, Kobato","Hanazawa, Kana","Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",Haganai - Kobato.avi,Kobato.png,X,FALSE
Hai to Gensou no Grimgar,Yume,"Komatsu, Mikako","Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",Hai to Gensou no Grimgar - Yume.avi,Yume.jpg,X,FALSE
Haikyuu!!,"Hinata, Shouyou","Murase, Ayumu","Comedy, Drama, School, Shounen, Sports",Haikyuu - Hinata.mp4,HinataShouyou.jpg,X,FALSE
Haikyuu!!,"Oikawa, Tooru","Namikawa, Daisuke","Comedy, Drama, School, Shounen, Sports",Haikyuu!! - Oikawa.avi,Oikawa.png,X,FALSE
Haruhi (The Melancholy of Haruhi Suzumiya),Kyon,"Sugita, Tomokazu","Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",Haruhi - Kyon.mp4,Kyon.jpg,X,FALSE
